feature,summary,sample,x,y,sample_text
10097,Volunteer-based Organizations,"""Volunteers are working to restore this historic building.""",11.81821,9.091394,Volunteers are working to restore this historic building.
10098,"User Interface Modes, Operating Modes, Various Modes","""This mode provides the best connectivity from the user perspective.""",8.487423,2.713988,This mode provides the best connectivity from the user perspective.
10099,Bulldog Teams or Characters,"""The school mascot is the bulldog.""",7.897016,5.822274,The school mascot is the bulldog.
10100,"Historical, Spatial, Cultural Development","""The novel was regarded as radical at the time it was published.""",12.71382,0.9790769,The novel was regarded as radical at the time it was published.
10101,"Individuals, Places, or Things Associated with Activities (Sports, Music, History, etc.)","""His regular position was flanker.""",9.351726,1.7426798,His regular position was flanker.
10102,"Medieval Architecture, Historical Artifacts, Ancient Sites","""A north aisle was added in 1890.""",8.239286,8.930479,A north aisle was added in 1890.
10103,"Geographically Diverse Locations, Cultural Institutions, Architecture and Art, Historical Sites","""Rockelstad Castle is a castle in Sweden.""",9.902044,7.5095716,Rockelstad Castle is a castle in Sweden.
10104,"Metaverse, Universes, Comics","""Learning to Act in the Metaverse.""",10.637954,5.0327682,Learning to Act in the Metaverse.
10105,"Pressure, Systems, Conditions","""The situation in the area of lower pressure could be opposite.""",8.755149,5.2934837,The situation in the area of lower pressure could be opposite.
10106,"Documents, Variety, Governance","""The documents mentioned in the search report usually form part of the prior art.""",9.776173,0.85090524,The documents mentioned in the search report usually form part of the prior art.
10107,"Members of legislative assemblies (MLAs/MLCs), their resignations, elections, and deaths.","""1 Lake Macquarie Labor MLA Jim Simpson died on 10 December 1968.""",11.840149,7.67614,1 Lake Macquarie Labor MLA Jim Simpson died on 10 December 1968.
10108,"Emotional, Personal, Diverse Experiences","""It Was Only a Sun Shower.""",8.990857,0.9951731,It Was Only a Sun Shower.
10109,Taxonomic Families and Subfamilies,"""Fissurellidae is the only family in the superfamily Fissurelloidea.""",7.622242,6.4046082,Fissurellidae is the only family in the superfamily Fissurelloidea.
10110,"Military, Historical, Individuals (or Identities)","""MIF is an important regulator of innate immunity.""",10.962049,5.0062447,MIF is an important regulator of innate immunity.
10111,"Drummers, Music, Percussion","""The song also features drumming by Cozy Powell.""",9.696534,-0.69598305,The song also features drumming by Cozy Powell.
10112,Fox-related Entities or Places,"""Fox Creek takes its name from nearby Fox Ridge.""",10.317078,5.8559437,Fox Creek takes its name from nearby Fox Ridge.
10113,"Gaelic Athletic Association Clubs, Ireland, Gaelic Football","""Skeheenarinky GAA is a Gaelic Athletic Association club in County Tipperary, Ireland.""",11.972782,6.401152,"Skeheenarinky GAA is a Gaelic Athletic Association club in County Tipperary, Ireland."
10114,Professionally-Related Topics,"""100 Proof is a 1997 independently produced American thriller, written and directed by Jeremy Horton.""",10.575858,3.7227683,"100 Proof is a 1997 independently produced American thriller, written and directed by Jeremy Horton."
10115,"Team Name Changes, Sports History, Relocations","""In 1967 they became the Phoenix Roadrunners.""",13.256331,3.8414595,In 1967 they became the Phoenix Roadrunners.
10116,"Romance, Dating, Variety (or Relationships)","""It is inspired by the Hollywood movie 50 First Dates.""",9.886384,2.6304867,It is inspired by the Hollywood movie 50 First Dates.
10117,"Ongoing debates, achievements, and studies","""Litigation is ongoing.""",9.964697,2.5475175,Litigation is ongoing.
10118,Lodges and Buildings,"""The lodge itself is a tourist destination and is famous for its large cinnamon buns.""",10.902664,4.805063,The lodge itself is a tourist destination and is famous for its large cinnamon buns.
10119,"Taxi/Cab-related topics, Spanning from manufacturing to usage","""The series was about a mini-cab firm called Cresta Cabs.""",6.93173,4.858923,The series was about a mini-cab firm called Cresta Cabs.
10120,"Release Dates, Media Publication, Creative Projects","""The film stars Mohamed Manik and Najiha, and was released on 24 March 2018.""",12.485554,-0.29210675,"The film stars Mohamed Manik and Najiha, and was released on 24 March 2018."
10121,"Arts, Culture, Entertainment","""Delicacies is a compilation album by British electronic band Simian Mobile Disco.""",10.020796,4.907613,Delicacies is a compilation album by British electronic band Simian Mobile Disco.
10122,Individuals' ages and deaths,"""He was 32 years old.""",7.2184095,1.8158273,He was 32 years old.
10123,"Population Growth/Decline, Year-wise Data, Various Locations","""Its population in 2006 was 7,283.""",6.6554523,1.0074791,"Its population in 2006 was 7,283."
10124,"Places named after ""Burn/Burns"" or associated with them","""Washburn is an agricultural community located in north-central Illinois.""",8.952547,5.3238416,Washburn is an agricultural community located in north-central Illinois.
10125,"South East England Locations, Sports, Education","""Portsmouth is an island port city situated on Portsea Island in the county of Hampshire, England.""",8.457138,8.070842,"Portsmouth is an island port city situated on Portsea Island in the county of Hampshire, England."
10126,"Bridges, Construction, History","""The bridge was opened on 19 September 2011.""",7.2218175,4.966612,The bridge was opened on 19 September 2011.
10127,"Events, Endings, Fates","""Three days later he was killed.""",9.573966,1.5006151,Three days later he was killed.
10128,"Audience Viewership, Television Ratings, Program Reception","""The show premiered with 3.3 million viewers.""",7.3397446,0.88296485,The show premiered with 3.3 million viewers.
10129,"Events of the Year, primarily 1979","""By 1979, the amount had grown to $2.4 billion.""",12.938981,0.76479155,"By 1979, the amount had grown to $2.4 billion."
10130,"Open/Closed Periods, Leadership Changes, Event History","""It was an open seat up to 2006.""",12.379025,0.93831515,It was an open seat up to 2006.
10131,"Models and Modeling, Constructs, Collectibles","""He is also a TV commercial model.""",9.42959,4.104985,He is also a TV commercial model.
10132,"Breweries, Distilleries, Alcohol Production","""Tallgrass Brewing Company is a craft brewery in Manhattan, KS.""",8.037461,3.6069078,"Tallgrass Brewing Company is a craft brewery in Manhattan, KS."
10133,"Temporary, Moderate, Brief","""Some partial rehabilitation followed.""",8.324895,2.577236,Some partial rehabilitation followed.
10134,"Artifacts, Systems, Ideologies, Historical Periods, Regions (Commodity money, systems, ideologies, historical periods, and regions are all represented in the list, but the list could also be summarized as ""Cultural and Historical Entities"").","""Commodity money exists today.""",11.693165,1.3189204,Commodity money exists today.
10135,Queensland Locations and Associations,"""He comes from Townsville in Queensland.""",13.140491,5.508837,He comes from Townsville in Queensland.
10136,"Ancient and Noble Families, Roman Empire, Aristocracy and Political Movements","""The gens Salonia was a plebeian family at ancient Rome.""",11.317672,6.4133573,The gens Salonia was a plebeian family at ancient Rome.
10137,"Retirement, Competition, Life-changing events","""Hall retired in 1970 because of health problems.""",12.747083,0.71425533,Hall retired in 1970 because of health problems.
10138,"Politicians, Individuals (notable people), Species/Bands (named entities)","""Chakrapani Shukla was an Indian politician .""",9.625225,7.893657,Chakrapani Shukla was an Indian politician .
10139,Accidental Events or Occurrences,"""He initially got into still photography by accident.""",10.055656,2.6796308,He initially got into still photography by accident.
10140,"Mentioned Entities (Amrapali, Ambrose, Amuleto, Ampar, Amor, Ambani, Ambattur, Ammonites, Ammayie, Ambulyx, Amur, Amberley, Attenborough, Amy)","""Amrapali is a mango variety introduced in 1971.""",11.496228,7.417712,Amrapali is a mango variety introduced in 1971.
10141,Deaths or Fatalities due to Accidents,"""The incident reportedly claimed at least fifty lives.""",10.636112,3.01827,The incident reportedly claimed at least fifty lives.
10142,"Daily/Weekly Operations, Train Services, Frequency Details","""It is currently being operated with 59421/59422 train numbers on daily basis.""",6.380057,4.4693,It is currently being operated with 59421/59422 train numbers on daily basis.
10143,"State, Highway, Route Navigation","""It is part of State Route 13.""",7.0182414,4.5905566,It is part of State Route 13.
10144,Independence Events or Declarations,"""Which is Indian independence day..""",11.043894,4.6890144,Which is Indian independence day..
10145,"People, Places, and Names (associated with Nichols, Nicholson, Nicholls, etc.)","""John Nichols was also elected as an Independent to NC-04.""",8.241101,8.991427,John Nichols was also elected as an Independent to NC-04.
10146,Territorial Entities and History,"""This article discusses the history of the territory of Slovakia.""",10.95454,2.839468,This article discusses the history of the territory of Slovakia.
10147,Corruption and Misconduct,"""Business deals often involve participation in corruption.""",10.717094,3.2564437,Business deals often involve participation in corruption.
10148,"Residential Areas, Development, Location","""The area contains mostly farmland with some homes and small businesses located along the road.""",7.6274023,3.0395153,The area contains mostly farmland with some homes and small businesses located along the road.
